"",,1970,2017,1970,2017,1970,2017,1970,2017,1970,2017,1970,2017,1970,2017
"",Native species,,,,,,,,,,,,,,
0.63,Sapindus oahuensis,"74,800",4400,,,,,3267,325,"16,324",6825,467,50,,
0.32,Diospyros sandwicensis,,,,,,,917,1100,,,"14,684",2225,8060,3075
0.17,Psydrax odorata,,,5150,475,275,100,650,200,,,2633,675,8040,250
0.14,Erythrina sandwicensis,,,0,25,2700,175,,,,,,,,
0.06,Polyscias sandwicensis,,,,,,,,,25,100,200,25,,
0.05,Nestegis sandwicensis,,,,,,,100,0,,,833,100,90,125
0.04,Diospyros hillebrandii,,,,,,,,,,,50,525,10,0
0.02,Dodonaea viscosa,,,25,125,,,17,0,220,0,,,,
0.02,Psychotria hathewayi,,,,,,,,,,,,,230,50
0.02,Colubrina oppositifolia,,,,,,,,,,,467,25,,
"",Non-native species,,,,,,,,,,,,,,
0.29,Leucaena leucocephala,4600,2225,"770,075",225,475,1775,"43,468",125,4133,1100,17,0,,
0.27,Schinus terebinthifolius,,,2250,0,"23,800",475,550,325,8,0,33,325,180,1425
0.25,Grevillea robusta,,,0,125,0,225,0,75,,,,,40,25
0.24,Syzygium cumini,,,400,0,450,50,167,325,283,75,217,600,360,25
0.17,Psidium cattleianum,,,175,300,,,,,,,550,1100,930,2150
0.08,Aleurites molucanna,,,,,,,0,75,17,50,,,40,0
0.07,Fraxinus udheia,,,,,,,,,,,0,825,0,275
0.03,Spathodea campanulataa,,,,,,,,,0,25,,,,
0.03,Broussonetia papyriferaa,,,,,,,,,,,0,350,,
0.03,Casuarina equisetifoliaa,,,0,150,,,,,,,,,,
